STORE,WF#,NAME OF STORE,ADDRESS,CITY,STATE,ZIP,PHONE #,GEO LOCATION
121,121,ShopRite of Rochelle Park,220 W. PASSAIC ST.,ROCHELLE PARK,NJ,7662,201-843-1424,"40.9150450,-74.0807950"
160,160,ShopRite of Paramus,224 RT. 4 E @ FOREST AVENUE,PARAMUS,NJ,7652,201-843-6616,"40.9154200,-74.0590200"
163,163,ShopRite of Clark,76 CENTRAL AVE.,CLARK,NJ,7066,732-381-7600,"40.6291200,-74.3053470"
164,164,ShopRite Linden,"637 W. EDGAR RD., AVIATION PLAZA",LINDEN,NJ,7036,908-523-0707,"40.6220480,-74.2445900"
169,169,ShopRite of Englewood,40 NATHANIEL PLACE,ENGELWOOD,NJ,7631,201-816-8330,"40.8966070,-73.9755460"
193,193,ShopRite of Marlboro Township,280 US HIGHWAY 9,MARLBORO,NJ,7751,732-617-0404,"40.3414760,-74.3053480"
207,207,ShopRite of West Caldwell,540 PASSAIC AVE.,WEST CALDWELL,NJ,7006,973-575-1770,"40.8481740,-74.2969460"
215,215,ShopRite of Brookdale,1409 BROAD ST.,BLOOMFIELD,NJ,7003,973-338-4141,"40.8375930,-74.1838570"
219,219,ShopRite of Pearl River,26 N. MIDDLETOWN RD.,PEARL RIVER,NY,10965,845-735-4871,"41.0607850,-74.0117230"
224,224,Shop Rite Mansfield,1965 RT. 57 WEST & ALLEN ST.,HACKETTSTOWN,NJ,7840,908-852-1200,"40.8240160,-74.8340210"
231,231,ShopRite of White Plains,13 CITY PLACE,WHITE PLAINS,NY,10601,914-539-4500,"41.0328030,-73.7646320"
235,235,ShopRite of Carmel,184 ROUTE 52,CARMEL,NY,10512,845-225-1011,"41.4635740,-73.6673970"
276,276,ShopRite of Thornwood,960 BROADWAY,THORNWOOD,NY,10594,914-747-1108,"41.1271260,-73.7795120"
287,287,ShopRite of Rockaway,437 ROUTE 46 EAST,ROCKAWAY,NJ,7866,973-366-3343,"40.8845560,-74.5362580"
294,294,ShopRite of Springfield,727 MORRIS TPKE.,SPRINGFIELD,NJ,7081,973-376-3028,"40.7190010,-74.3312620"
299,299,Shoprite Liquors of Neptune,2200 HIGHWAY 66,NEPTUNE,NJ,7753,732-775-4250,"40.2265850,-74.0411700"
315,315,ShopRite of Southington,750 QUEEN STREET,SOUTHINGTON ,CT,06489-1505,860-736-0044,"41.6372780,-72.8749380"
321,321,ShopRite of Wallingford,846 NORTH COLONY ROAD,WALLINGFORD,CT,06492-2410,203-626-7760,"41.4791940,-72.8092930"
355,355,ShopRite of Parsippany,808 ROUTE 46 WEST,PARSIPPANY,NJ,7054,973-335-2625,"40.8621800,-74.3751270"
389,389,ShopRite of Southbury,775 MAIN STREET SOUTH,SOUTHBURY,CT,06488-2271,203-262-1477,"41.4633110,-73.2318350"
392,392,ShopRite of Brookfield,143 FEDERAL RD.,BROOKFIELD,CT,6804,203-775-7078,"41.4375620,-73.4065880"
394,394,ShopRite of Norwalk,360 CONNECTICUT AVE.,NORWALK,CT,6850,203-838-0504,"41.1025030,-73.4394840"
397,397,"ShopRite of Commerce St.-Stamford, CT",1990 WEST MAIN ST.,STAMFORD,CT,6905,203-978-0464,"41.0473380,-73.5650010"
398,398,ShopRite of Shelton,875 BRIDGEPORT AVENUE,SHELTON,CT,06484-4621,203-225-9224,"41.2649350,-73.1346770"
399,399,ShopRite of Fairfield,1975 BLACK ROCK TURNPIKE,FAIRFIELD,CT,06825-3506,203-615-0140,"41.1807250,-73.2491990"
422,422,ShopRite of Brodheadsville,107 KINSLEY DRIVE,BRODHEADSVILLE,PA,18322,570-992-2666,"40.9199160,-75.4222840"
439,439,ShopRite of Warminster,942 WEST STREET ROAD,WARMINSTER,PA,18974,215-328-4700,"40.2095750,-75.1085970"
440,440,ShopRite of Knorr Street,6725 FRANKFORD AVE.,PHILADELPHIA,PA,19135,215-331-6030,"40.0315680,-75.0513170"
441,441,The Fresh Grocer of LaSalle,5301 CHEW AVE.,PHILADELPHIA,PA,19138-2803,877-452-7255,"40.0429800,-75.1598740"
466,466,ShopRite of Bound Brook,611 W. UNION AVENUE,BOUND BROOK,NJ,8805,732-302-9299,"40.5700120,-74.5529910"
470,470,ShopRite of Branchburg,3166 ROUTE 22,SOMERVILLE,NJ,8876,908-704-3378,"40.6044890,-74.6912590"
471,471,ShopRite of Brooklawn,RT. 130 & BROWNING RD.,BROOKLAWN,NJ,8030,856-742-8700,"39.8782020,-75.1149760"
487,487,ShopRite of Wharton,314 ROUTE 15,WHARTON,NJ,7885,973-361-8901,"40.9049490,-74.5703110"
